username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Marco,Ecuador,Single Room,2 nights,Solo traveller,09-22-2024 00:00:00,Altamente recomendado,10.0,es,"Altamente recomendado, todo",…,"title: Altamente recomendado. liked: Altamente recomendado, todo. disliked: ….",,0,0,
Jorge,Ecuador,Single Room,2 nights,Solo traveller,09-18-2024 00:00:00,Muy buena estancia,10.0,es,Un servicio bien garantizado,,title: Muy buena estancia. liked: Un servicio bien garantizado.,,0,0,
Johanna,France,Double or Twin Room,1 night,Couple,09-14-2024 00:00:00,Very good,8.0,fr,"Propre, literie confortable, personnel serviable et très gentil. Proche du centre",Pas mal de bruit le matin (prévoir bouchons d’oreille),"title: Very good. liked: Propre, literie confortable, personnel serviable et très gentil. Proche du centre. disliked: Pas mal de bruit le matin (prévoir bouchons d’oreille)",,0,0,
Marco,Ecuador,Triple Room with Private Bathroom,2 nights,Family,09-09-2024 00:00:00,Exceptional,10.0,es,"Las vistas, lugar acogedor, personal atento, lugar tranquilo, desayuno completísimo.",,"title: Exceptional. liked: Las vistas, lugar acogedor, personal atento, lugar tranquilo, desayuno completísimo.",,0,0,
Jorge,Argentina,Single Room,2 nights,Solo traveller,09-08-2024 00:00:00,Muy lindo hotel para conocer Baños de Agua Santa,9.0,es-ar,"La habitación estaba limpia, ordenada y en buen estado. La cama era muy comoda. La ducha funcionaba bien. La atención de la persona encargada fue excelente. Muy amplio el espacio del estacionamiento. Muy lindas las vistas desde la habitación de la ciudad y de las montañas alrededor.",Esta un poco alejado del centro y con una pendiente.,"title: Muy lindo hotel para conocer Baños de Agua Santa. liked: La habitación estaba limpia, ordenada y en buen estado. La cama era muy comoda. La ducha funcionaba bien. La atención de la persona encargada fue excelente. Muy amplio el espacio del estacionamiento. Muy lindas las vistas desde la habitación de la ciudad y de las montañas alrededor. disliked: Esta un poco alejado del centro y con una pendiente.",,0,0,
Eeucdp,Spain,Single Room,1 night,Solo traveller,09-04-2024 00:00:00,"Buena opción para unos días en Baños, está lejos, pero es cómodo y a buen precio",8.0,es,Personal muy amable. Estacionamiento. Habitación cómoda,"Algo ruidoso. No es muy céntrico, y sobre todo hay que subir una cuesta muy empinada","title: Buena opción para unos días en Baños, está lejos, pero es cómodo y a buen precio. liked: Personal muy amable. Estacionamiento. Habitación cómoda. disliked: Algo ruidoso. No es muy céntrico, y sobre todo hay que subir una cuesta muy empinada.",,0,0,
Guillermo,Ecuador,Single Room,2 nights,Family,09-02-2024 00:00:00,Un muy buen lugar para disfrutar de baños.,9.0,es,"Me gustó la atención, la forma amble y paciente de tratar a los huéspedes. Y también las recomendaciones de lugares turísticos y restaurantes.",,"title: Un muy buen lugar para disfrutar de baños. liked: Me gustó la atención, la forma amble y paciente de tratar a los huéspedes. Y también las recomendaciones de lugares turísticos y restaurantes.",,0,0,
Maricela,Costa Rica,Single Room,1 night,Solo traveller,08-31-2024 00:00:00,Superb,9.0,es,"Las habitaciones de Llanovientos tienen una vista bonita de la ciudad de Baños, además es un lugar bastante limpio. Queda cerca del centro para ir a restaurantes y movibilizarse a otras partes. Super recomendado!!",,"title: Superb. liked: Las habitaciones de Llanovientos tienen una vista bonita de la ciudad de Baños, además es un lugar bastante limpio. Queda cerca del centro para ir a restaurantes y movibilizarse a otras partes. Super recomendado!!",,0,0,
Marco,Ecuador,Single Room,1 night,Solo traveller,08-28-2024 00:00:00,Lo recomiendo en lo absoluto,10.0,es,Super atentos,…,title: Lo recomiendo en lo absoluto. liked: Super atentos. disliked: ….,,0,0,
Ricardo,Ecuador,Quadruple Room,2 nights,Group,08-25-2024 00:00:00,Da tornare,10.0,it,"L'Hotel molto bello, camera comoda, colazione abbondante.",,"title: Da tornare. liked: L'Hotel molto bello, camera comoda, colazione abbondante.",,0,0,
